Month,soccer_US
2004-01,25
2004-02,29
2004-03,33
2004-04,36
2004-05,37
2004-06,40
2004-07,31
2004-08,42
2004-09,40
2004-10,38
2004-11,33
2004-12,25
2005-01,26
2005-02,29
2005-03,31
2005-04,36
2005-05,36
2005-06,36
2005-07,28
2005-08,35
2005-09,40
2005-10,38
2005-11,35
2005-12,27
2006-01,27
2006-02,29
2006-03,33
2006-04,36
2006-05,46
2006-06,100
2006-07,49
2006-08,40
2006-09,44
2006-10,38
2006-11,35
2006-12,24
2007-01,26
2007-02,30
2007-03,33
2007-04,33
2007-05,39
2007-06,38
2007-07,34
2007-08,39
2007-09,46
2007-10,40
2007-11,34
2007-12,25
2008-01,26
2008-02,29
2008-03,31
2008-04,34
2008-05,38
2008-06,44
2008-07,28
2008-08,39
2008-09,38
2008-10,35
2008-11,32
2008-12,23
2009-01,24
2009-02,28
2009-03,31
2009-04,32
2009-05,34
2009-06,39
2009-07,29
2009-08,35
2009-09,39
2009-10,38
2009-11,37
2009-12,24
2010-01,24
2010-02,25
2010-03,30
2010-04,31
2010-05,39
2010-06,78
2010-07,40
2010-08,33
2010-09,35
2010-10,33
2010-11,30
2010-12,21
2011-01,24
2011-02,27
2011-03,31
2011-04,32
2011-05,34
2011-06,39
2011-07,46
2011-08,36
2011-09,41
2011-10,39
2011-11,34
2011-12,23
2012-01,25
2012-02,27
2012-03,32
2012-04,32
2012-05,36
2012-06,42
2012-07,35
2012-08,47
2012-09,40
2012-10,35
2012-11,29
2012-12,23
2013-01,24
2013-02,29
2013-03,33
2013-04,32
2013-05,36
2013-06,36
2013-07,33
2013-08,34
2013-09,41
2013-10,36
2013-11,33
2013-12,24
2014-01,24
2014-02,27
2014-03,29
2014-04,32
2014-05,37
2014-06,97
2014-07,57
2014-08,37
2014-09,41
2014-10,37
2014-11,33
2014-12,24
2015-01,26
2015-02,28
2015-03,32
2015-04,33
2015-05,35
2015-06,44
2015-07,42
2015-08,34
2015-09,41
2015-10,40
2015-11,35
2015-12,24
2016-01,25
2016-02,29
2016-03,31
2016-04,33
2016-05,34
2016-06,54
2016-07,30
2016-08,50
2016-09,40
2016-10,36
2016-11,35
2016-12,23
2017-01,23
2017-02,26
2017-03,31
2017-04,28
2017-05,30
2017-06,31
2017-07,30
2017-08,31
2017-09,37
2017-10,40
2017-11,32
2017-12,21
2018-01,22
2018-02,24
2018-03,27
2018-04,28
2018-05,29
2018-06,54
2018-07,50
2018-08,32
2018-09,36
2018-10,33
2018-11,29
2018-12,19
2019-01,20
2019-02,23
2019-03,27
2019-04,26
2019-05,28
2019-06,55
2019-07,51
2019-08,28
2019-09,36
2019-10,32
2019-11,29
2019-12,20
2020-01,19
2020-02,22
2020-03,16
2020-04,11
2020-05,11
2020-06,13
2020-07,15
2020-08,18
2020-09,20
2020-10,20
2020-11,17
2020-12,13
2021-01,14
2021-02,17
2021-03,23
2021-04,23
2021-05,25
2021-06,33
